concurso,data,dezena_1,dezena_2,dezena_3,dezena_4,dezena_5,dezena_6,ganhadores_6_acertos,valor_premio,local
354,17/04/2002,7,16,38,40,41,52,1,18680098.1,"Caminhão da Sorte em Jales, SP"
355,20/04/2002,2,14,22,23,37,60,0,0.0,"Caminhão da Sorte em Jales, SP"
356,24/04/2002,5,19,21,54,56,58,0,0.0,"Caminhão da Sorte em Itapetininga, SP"
357,27/04/2002,2,30,32,35,45,53,0,0.0,"Caminhão da Sorte em Itapetininga, SP"
358,04/05/2002,12,17,21,32,40,42,0,0.0,"Caminhão da Sorte em Mandaguari, PR"
359,08/05/2002,13,19,20,29,31,54,0,0.0,"Caminhão da Sorte em Descalvado, SP"
360,11/05/2002,23,24,29,47,53,55,0,0.0,"Caminhão da Sorte em Espírito Santo do Pinhal, SP"
361,15/05/2002,16,28,31,41,45,59,0,0.0,"Caminhão da Sorte em Franca, SP"
362,18/05/2002,7,20,33,37,46,56,1,18399160.53,"Caminhão da Sorte em Franca, SP"
363,22/05/2002,19,29,39,47,49,54,0,0.0,"Caminhão da Sorte em Porto Feliz, SP"
364,25/05/2002,5,29,44,51,57,59,1,1307293.04,"Caminhão da Sorte em Salto, SP"
365,29/05/2002,19,23,34,37,52,58,1,462752.26,"Caminhão da Sorte em Ituverava, SP"
366,01/06/2002,4,6,7,15,21,51,0,0.0,"Caminhão da Sorte em Orlândia, SP"
367,05/06/2002,10,12,27,33,49,52,1,1150498.02,"Caminhão da Sorte em Campina Grande, PB"
368,08/06/2002,13,29,32,38,44,50,0,0.0,"Caminhão da Sorte em Bananeiras, PB"
369,12/06/2002,1,14,21,35,42,60,1,1221738.07,"Caminhão da Sorte em Itabaiana, SE"
370,15/06/2002,1,4,40,42,51,54,0,0.0,"Caminhão da Sorte em Itabaiana, SE"
371,19/06/2002,4,18,23,33,39,60,0,0.0,"Caminhão da Sorte em Caruaru, PE"
372,22/06/2002,16,17,24,39,46,57,2,4792658.35,"Caminhão da Sorte em Caruaru, PE"
373,26/06/2002,1,5,10,24,31,33,0,0.0,"Caminhão da Sorte em Teresina, PI"
374,29/06/2002,2,5,16,26,44,54,0,0.0,"Caminhão da Sorte em Teresina, PI"
375,03/07/2002,1,5,9,42,51,58,0,0.0,"Caminhão da Sorte em Paranaíba, MS"
376,06/07/2002,10,13,25,35,43,48,0,0.0,"Caminhão da Sorte em Paranaíba, MS"
377,10/07/2002,3,12,19,27,45,46,0,0.0,"Caminhão da Sorte em Guariba, SP"
378,13/07/2002,5,38,41,45,48,55,0,0.0,"Caminhão da Sorte em Jaboticabal, SP"
379,17/07/2002,24,33,40,41,55,59,0,0.0,"Caminhão da Sorte em Rio Verde, GO"
380,20/07/2002,13,22,30,31,47,57,0,0.0,"Caminhão da Sorte em Rio Verde, GO"
381,24/07/2002,9,10,28,46,55,56,0,0.0,"Caminhão da Sorte em Concórida, SC"
382,27/07/2002,31,34,37,38,53,54,0,0.0,"Caminhão da Sorte em Concórdia, SC"
383,31/07/2002,14,22,48,50,53,56,0,0.0,"Caminhão da Sorte em Salvador, BA"
384,03/08/2002,24,28,40,47,50,52,0,0.0,"Caminhão da Sorte em Salvador, BA"
385,07/08/2002,5,12,16,18,22,24,2,12952192.89,"Auditório em Brasília, DF"
386,10/08/2002,17,35,36,39,43,54,0,0.0,"Caminhão da Sorte em Carapicuíba, SP"
387,14/08/2002,22,28,29,43,47,48,0,0.0,"Caminhão da Sorte em Olímpia, SP"
388,17/08/2002,23,36,48,52,53,58,0,0.0,"Caminhão da Sorte em Olímpia, SP"
389,21/08/2002,5,14,18,43,46,54,0,0.0,"Caminhão da Sorte em Anápolis, GO"
390,24/08/2002,7,12,22,34,38,53,1,17611429.97,"Caminhão da Sorte em Anápolis, GO"
391,28/08/2002,4,7,15,16,35,40,0,0.0,"Caminhão da Sorte em Curitiba, PR"
392,31/08/2002,15,23,31,39,47,49,1,1410917.29,"Caminhão da Sorte em Curitiba, PR"
393,04/09/2002,6,12,35,36,40,50,0,0.0,"Caminhão da Sorte em Jataí, GO"
394,07/09/2002,5,15,35,42,45,49,0,0.0,"Caminhão da Sorte em Jataí, GO"
395,11/09/2002,10,11,14,20,31,58,1,1843709.96,"Caminhão da Sorte em Feira de Santana, BA"
396,14/09/2002,6,18,34,42,45,47,0,0.0,"Caminhão da Sorte em Feira de Santana, BA"
397,18/09/2002,1,2,5,24,32,46,0,0.0,"Caminhão da Sorte em Assis, SP"
398,21/09/2002,7,16,22,28,36,37,1,2221289.77,"Caminhão da Sorte em Assis, SP"
399,25/09/2002,11,16,27,47,55,59,0,0.0,"Caminhão da Sorte em Tambaú, SP"
400,28/09/2002,10,13,28,29,54,59,0,0.0,"Caminhão da Sorte em Santa Rita do Passa Quatro, SP"
401,02/10/2002,11,18,43,44,50,53,0,0.0,"Caminhão da Sorte em São Roque, SP"
402,05/10/2002,5,16,27,43,56,58,0,0.0,"Caminhão da Sorte em São Roque, SP"
403,09/10/2002,7,16,27,31,46,60,0,0.0,"Caminhão da Sorte em Itabira, MG"
404,12/10/2002,1,24,28,38,40,58,0,0.0,"Caminhão da Sorte em Itabira, MG"
405,16/10/2002,24,29,34,47,57,60,0,0.0,"Caminhão da Sorte em Francisco Beltrão, PR"
406,19/10/2002,2,12,32,38,47,48,0,0.0,"Caminhão da Sorte em Francisco Beltrão, PR"
407,23/10/2002,2,18,22,49,51,57,0,0.0,"Caminhão da Sorte em Blumenau, SC"
408,26/10/2002,14,28,33,44,49,56,1,18948827.67,"Caminhão da Sorte em Blumenau, SC"
409,30/10/2002,18,25,26,31,34,49,0,0.0,"Caminhão da Sorte em Juazeiro do Norte, CE"
410,02/11/2002,8,24,31,36,38,55,0,0.0,"Caminhão da Sorte em Juazeiro do Norte, CE"
411,06/11/2002,10,12,31,38,45,56,0,0.0,"Caminhão da Sorte em Porto Alegre, RS"
412,09/11/2002,5,12,14,21,45,59,0,0.0,"Caminhão da Sorte em Porto Alegre, RS"
413,13/11/2002,2,4,29,33,35,53,0,0.0,"Caminhão da Sorte em Pato Branco, PR"
414,16/11/2002,16,26,35,45,52,58,1,17428452.98,"Caminhão da Sorte em Pato Branco, PR"
415,20/11/2002,1,4,27,38,42,44,0,0.0,"Caminhão da Sorte em Aracaju, SE"
416,23/11/2002,1,13,23,33,54,56,0,0.0,"Caminhão da Sorte em Aracaju, SE"
417,27/11/2002,7,12,21,25,34,42,0,0.0,"Caminhão da Sorte em Cananéia, SP"
418,30/11/2002,8,15,32,45,49,52,2,1558712.24,"Caminhão da Sorte em Registro, SP"
419,04/12/2002,9,16,41,42,52,53,0,0.0,"Caminhão da Sorte em Avaré, SP"
420,07/12/2002,12,29,30,43,57,59,0,0.0,"Caminhão da Sorte em Avaré, SP"
421,11/12/2002,5,35,37,38,45,51,0,0.0,"Caminhão da Sorte em Jandaia do Sul, PR"
422,14/12/2002,12,37,43,55,56,60,0,0.0,"Caminhão da Sorte em Jandaia do Sul, PR"
423,18/12/2002,8,22,32,33,40,53,0,0.0,"Caminhão da Sorte em Ribeirão Preto, SP"
424,21/12/2002,18,27,29,36,46,59,0,0.0,"Caminhão da Sorte em Ribeirão Preto, SP"
425,28/12/2002,6,10,16,34,42,47,1,18979599.19,"Caminhão da Sorte em Itapira, SP"
426,04/01/2003,7,30,32,37,50,54,0,0.0,"Caminhão da Sorte em Aguaí, SP"
427,08/01/2003,3,13,14,24,43,51,0,0.0,"Caminhão da Sorte em Ibiporã, PR"
428,11/01/2003,8,28,30,32,46,60,0,0.0,"Caminhão da Sorte em Londrina, PR"
429,15/01/2003,17,26,32,36,43,55,0,0.0,"Caminhão da Sorte em Guaratuba, PR"
