concurso,data,dezena_1,dezena_2,dezena_3,dezena_4,dezena_5,dezena_6,ganhadores_6_acertos,premio_6_acertos,acumulado,local
2393,24/07/2021,26,27,28,32,38,51,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2394,28/07/2021,05,16,25,36,42,44,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2395,31/07/2021,04,11,12,44,45,57,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2396,04/08/2021,02,03,25,39,42,49,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2397,07/08/2021,06,14,20,39,46,48,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2398,10/08/2021,08,17,30,36,54,59,1,60902054.13,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2399,12/08/2021,27,35,42,44,51,52,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2400,14/08/2021,09,21,25,26,36,53,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2401,18/08/2021,08,11,13,33,38,48,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2402,21/08/2021,06,22,25,29,30,60,1,40953827.42,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2403,25/08/2021,10,12,14,32,33,34,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2404,28/08/2021,01,19,35,40,47,54,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2405,01/09/2021,21,38,48,49,53,59,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2406,04/09/2021,08,12,29,43,54,60,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2407,08/09/2021,13,17,31,43,54,55,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2408,11/09/2021,04,29,30,38,43,57,1,46317095.04,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2409,15/09/2021,02,29,39,49,52,58,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2410,18/09/2021,07,10,27,35,43,59,2,12503139.64,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
